2021-10-10 21:10:920 INFO  BookingDetails :71 - Selecting room and continue[[ChromeDriver: chrome on WINDOWS (2af1f904f845766506534e207e271afb)] -> xpath: //div[@class = 'nbf_fancy_nbf_tpl_pms_book_room nbf_fg_pms_button_text ']]
2021-10-10 21:10:389 INFO  BookingDetails :75 - Continue to the next stage[[ChromeDriver: chrome on WINDOWS (2af1f904f845766506534e207e271afb)] -> xpath: //div[@id ='extrasButton']]
2021-10-10 21:10:982 INFO  BookingDetails :80 - Selecting title for Adult One[[ChromeDriver: chrome on WINDOWS (2af1f904f845766506534e207e271afb)] -> xpath: //select[@id = 'pax-a-title-1']]
2021-10-10 21:10:174 INFO  BookingDetails :84 - Entering FirstName[[ChromeDriver: chrome on WINDOWS (2af1f904f845766506534e207e271afb)] -> xpath: //input[@id = 'pax-a-first-1']]
2021-10-10 21:10:189 INFO  BookingDetails :85 - Entering lastName[[ChromeDriver: chrome on WINDOWS (2af1f904f845766506534e207e271afb)] -> xpath: //input[@id = 'pax-a-last-1']]
2021-10-10 21:10:466 INFO  BasePage :33 - Launching Chrome Browser 
2021-10-10 21:10:429 INFO  HomePage :24 - Sending text in Search Box[[ChromeDriver: chrome on WINDOWS (88354e34fc899fc6b25495ebf4b9c8be)] -> xpath: //input[@id = 'searchtext_freetext_search_form']]
2021-10-10 21:10:574 INFO  HomePage :35 - Clicking on Accept Cookies[[ChromeDriver: chrome on WINDOWS (88354e34fc899fc6b25495ebf4b9c8be)] -> xpath: //button[@class = 'optanon-allow-all accept-cookies-button']]
2021-10-10 21:10:623 INFO  HomePage :31 - Clicking on Search Button[[ChromeDriver: chrome on WINDOWS (88354e34fc899fc6b25495ebf4b9c8be)] -> xpath: //button[@disabled='disabled']//div[@class='nbf_button'][contains(text(),'Search for your dream holiday or enter a holiday c')]]
2021-10-10 21:10:925 INFO  BookingPage :34 - CLicking on more info buttonProxy element for: DefaultElementLocator 'By.xpath: //button[@id ='iterator_1_product_custom_more-info-button']'
2021-10-10 21:10:664 INFO  BookingPage :45 - Clicking on Book Online ButtonProxy element for: DefaultElementLocator 'By.xpath: //button[@name='enterbookingflow']//div[contains(@class,'nbf_fancyimg_pms_add_button nbf_fg_pms_button_text nbf_bg_pms_button nbf_fg_pms_button_text')][normalize-space()='Book Online']'
2021-10-10 21:10:724 INFO  BookingDetails :59 - Verify its booking first available date[[ChromeDriver: chrome on WINDOWS (88354e34fc899fc6b25495ebf4b9c8be)] -> xpath: //div[normalize-space()='18']]
